osm_id,osm_name_street,osm_nodes
24307203,Pachacutec,8
24307207,Huayna Capac,3
24307217,Cuba,10
24307224,Sinchi Roca,5
24307225,Cahuide,3
24307227,Domingo Millan,3
24307229,Mateo Pumacahua,4
24307231,Mayta Capac,1
24307235,General Santa Cruz,6
24307290,Mayta Capac,5
24307294,Mateo Pumacahua,4
24307307,Pachacutec,2
24307318,Jose Maria Plaza,4
24307324,Huayna Capac,2
24307328,General Santa Cruz,3
24307362,General Santa Cruz,3
24307372,General Canterac,5
24307396,Talara,9
24307433,Los Mogaburos,4
24307458,Rivero Ustariz,2
24307561,Avenida Cuba,17
24307567,Capac Yupanqui,4
24307569,Francisco de Zela,1
24307574,Almirante Guisse,7
24307580,General José Maria Cordova,5
24307598,Camilo Carrillo,3
24307610,Avenida Republica de Chile,6
24307623,Maximo Abril,2
24307626,Maximo Abril,2
24307635,Larrabure y Unanue,9
24307646,Ramón Dagnino,4
24307660,Natalio Sanchez,4
24307671,Coronel Pascual Saco Oliveros,5
24307868,Manuel Nicolas Corpancho,4
24315545,Malecon de la Reserva,11
24315546,Malecon de la Reserva,1
24315549,Malecon de los Franceses,4
24315608,MALECON 28 DE JULIO,1
24315662,Manuel Bonilla,2
24315663,Esperanza,3
24315666,Ernesto DIez Canseco,6
24315669,Cantuarias,4
24315670,Psj. Tello,2
24315671,Paseo de la Republica,1
24315675,Narciso de la Colina,4
24315678,Leoncio Prado,2
24315744,Bolivar,5
24315745,Psj Sucre,1
24315747,Psj. San Martin,1
24315749,Santa Isabel,4
24315751,San Fernando,8
24315753,Reducto,8
24315764,Reducto,1
24315768,Leonidas Avendanio,1
24315769,Acacias,2
24315770,Samuel Marquez,2
24315771,Retes,2
24315773,Tejada,1
24315783,28 de Julio,1
24315794,Av. 28 de Julio,6
24315805,Benavides,1
24315806,Benavides,1
24315810,OVALO LOS CABITOS,12
24315812,Benavides,1
24315813,Benavides,1
24315814,Benavides,1
24315819,Avenida Alfredo Benavides,24
24315832,Alfredo Benavides,8
24315836,Avenida Alfredo Benavides,26
24315868,Bartolome Trujillo,5
24315907,Ramon Rebeyro,2
24315940,Casimiro Ulloa,5
24315952,Roca y Bolona,13
24315984,Ortiz de Savallo,2
24315985,Fernandez,2
24315986,Jara,1
24315987,Alcocer,1
24315990,Enrique del Campo,2
24315991,Martin Dulante,1
24315992,R Trujillo,3
24315993,Bartolome Trujillo,1
24315994,Bartolome Trujillo,1
24315995,Arias Araguez,8
24315996,Franciso de Paula Ugarrize,11
24315998,San Antonio,1
24315999,Av Ricardo Palma,9
24316000,Av Ricardo Palma,8
24316010,Francisco de Castillo,7
24316013,Miota,5
24316032,Enrique del Horme,2
24316034,Dulanto,2
24316035,Sasone,3
24316062,Quebrada de Armendariz,4
24316072,Reducto,5
24316073,Reducto,1
24316078,Reducto,2
24331950,General Ernesto Montane,7
24331955,Paul Rivet,5
24331959,Genaro Castro Iglesias,13
24331960,Pedro Venturo,9
24331964,Ramon Castilla,2
24331966,Ramon Castilla,2
24331968,Lola Pardo,2
24331971,Lola Pardo,4
24331975,Manuel Almenara,10
24331977,Paul Rivet,1
24331979,Paul Rivet,1
24331985,Costa Rica,1
24331988,Guatemala,1
24331996,25 de mayo,4
24332001,Villegas,1
24332003,Angulo,1
24332007,Manuel Villaran,1
24332010,Manuel Villaran,1
24332019,Mayor Arce de la Oliva,5
24332023,Acuna,1
24332025,Cmdt. J. Roman,1
24332029,Juan Jose Calle,7
24332061,Sergio Bernales,8
24332076,Sergio Bernales,5
24332100,Victor Oleachea,4
24332104,VICTOR MAURTUA,1
24332120,Alejandro Deustua,8
24332130,Brent,2
24332162,Pacayar,2
24332171,San Lorenzo,7
24332203,San Felipe,15
24332204,Fernando Alzamora,9
24332205,Rizo Patron,2
24332210,Julian Sandoval,2
24332215,San Carlos,8
24332223,Santa Ines,4
24332224,Gomez,4
24332226,Durand,3
24332263,San Carlos,2
24332264,El Carmen,10
24332265,SANTA LUCIA,1
24332267,San Fernando,8
24332309,San Lorenzo,4
24332322,San Lorenzo,3
24332409,Del Parque Sur,25
24332414,Av. Aramburú,13
24332449,Halcones,5
24332454,los paujiles,4
24332455,las gaviotas,3
24332457,LAs Torcazas,1
24332465,c. Las Perdices,8
24332466,Negocios,2
24332531,Paseo de la República,17
24332559,las palomas,10
24332562,Las Garzas,5
24332584,Los Canarios,1
24332601,Los Fiaisanes,4
24332612,Prolongacion los Cuculies,3
24332614,Los Quetzales,2
